,,4M - $225,4M - $250,4M - $300,4M - $350,4M - $400
,,6M - $325,6M - $350,6M - $400,6M - $450,6M - $500
,,9M - $450,9M - $475,9M - $500,9M - $550,9M - $600
SUBURB,POST CODE,0-25KM,25-50KM,50-75KM,75-100KM,100KM+
Southampton,2460,,,64,,
North Greenbushes,6254,,,65,,
Catterick,6255,,,66,,
Carlotta,6275,,,67,,
Yanmah,6258,,,68,,
Palgarup,6258,,,69,,
Boyup Brook,6244,,,,76,
Benjinup,6255,,,,77,
Winnejup,6255,,,,78,
Kingston,2604,,,,79,
Chowerup,6244,,,,80,
Scotts Brook,6244,,,,81,
Qualeup,6394,,,,85,
Moodiarrup,6393,,,,95,
Muradup,6394,,,,,101
Jingalup,6395,,,,,102
Lumeah,2560,,,,,103
Boscabel,6394,,,,,104
KenMare,6316,,,,,105
Carrolup,6317,,,,,106
Bobalong,6320,,,,,107
Tambellup,6320,,,,,108
Vasse,6280,,,,,109
Busselton,6280,,,,,110
Dunsborough,6281,,,,,111
